,car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_dollar,car_nick_name,price_class
47,Hyundai i20 1.4 Magna Executive,65392,Diesel,Manual,1,2017,1396,5,7243.32,Hyundai,low-class
48,Mercedes-Benz CLA 200 CGI Sport,37000,Petrol,Automatic,1,2018,1991,5,32594.940000000002,Mercedes-Benz,low-class
49,Maruti XL6 Zeta,9000,Petrol,Manual,1,2020,1462,6,13158.698,Maruti,low-class
50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,32000,Petrol,Automatic,1,2017,1197,5,7122.598000000001,Hyundai,low-class
51,Mahindra XUV500 W8 2WD,68000,Diesel,Manual,1,2012,2179,7,7846.93,Mahindra,low-class
52,Hyundai i20 Magna 1.2,13000,Petrol,Manual,1,2017,1197,5,8148.735000000001,Hyundai,low-class
53,Datsun RediGO AMT 1.0 T Option,30000,Petrol,Automatic,1,2020,999,5,4466.714,Datsun,low-class
54,Honda Brio VX AT,34300,Petrol,Automatic,1,2015,1198,5,6337.905,Honda,low-class
55,Honda City i VTEC CVT SV,45000,Petrol,Automatic,1,2015,1497,5,8752.345,Honda,low-class
56,Toyota Corolla Altis GL MT,37000,Petrol,Manual,1,2014,1798,5,10261.37,Toyota,low-class
57,Jeep Compass 1.4 Sport,50000,Petrol,Manual,1,2018,1368,5,16901.08,Jeep,low-class
58,Volvo XC60 D4 Summum,105241,Diesel,Automatic,1,2015,1985,5,18108.3,Volvo,low-class
59,Toyota Corolla Altis 1.8 G,54000,Petrol,Manual,1,2019,1798,5,16780.358,Toyota,low-class
60,Hyundai Verna VTVT 1.6 SX,19600,Petrol,Manual,1,2019,1591,5,10744.258,Hyundai,low-class
61,Audi A4 2.0 TDI Technology Edition,48000,Diesel,Automatic,1,2015,1968,5,20402.018,Audi,low-class
62,Audi Q3 2.0 TDI,69500,Diesel,Automatic,1,2012,1968,5,16780.358,Audi,low-class
63,BMW 5 Series 530d,71000,Diesel,Automatic,2,2012,2993,5,18108.3,BMW,low-class
64,Porsche Cayenne S Diesel,48894,Diesel,Automatic,1,2014,4134,5,54324.9,Porsche,low-class
65,Maruti A-Star Zxi,46257,Petrol,Manual,3,2008,998,5,1847.0466000000001,Maruti,low-class
66,Ford Ecosport 1.5 DV5 MT Titanium,78264,Diesel,Manual,2,2015,1498,5,6144.7498,Ford,low-class
67,Honda Jazz 1.2 S AT i VTEC,42451,Petrol,Automatic,1,2016,1199,5,6591.4212,Honda,low-class
68,Volkswagen Vento Diesel Highline,131861,Diesel,Manual,2,2012,1598,5,3295.7106,Volkswagen,low-class
69,Maruti Wagon R VXI BS IV,128004,Petrol,Manual,2,2012,998,5,2172.996,Maruti,low-class
70,Chevrolet Beat Diesel PS,150349,Diesel,Manual,1,2012,936,5,1327.9420000000002,Chevrolet,low-class
71,Maruti Wagon R VXI BS IV,29033,Petrol,Manual,1,2017,998,5,4454.6418,Maruti,low-class
72,BMW 3 Series 320d Luxury Line,99000,Diesel,Automatic,1,2015,1995,5,16297.470000000001,BMW,low-class
73,Renault KWID RXL,47000,Petrol,Manual,1,2018,799,5,3319.855,Renault,low-class
74,Maruti Baleno 1.3 Sigma,35000,Diesel,Manual,1,2018,1248,5,6639.71,Maruti,low-class
75,Mercedes-Benz C-Class C 220 CDI BE COR,58000,Diesel,Automatic,1,2013,2143,5,11770.395,Mercedes-Benz,low-class
76,Honda City S,48000,Petrol,Manual,1,2012,1497,5,4828.88,Honda,low-class
77,Honda Amaze VX AT i-Vtech,45000,Petrol,Automatic,1,2014,1198,5,5734.295,Honda,low-class
78,Hyundai EON D Lite,60000,Petrol,Manual,2,2012,814,5,2293.718,Hyundai,low-class
79,Hyundai i20 Magna Optional 1.2,23000,Petrol,Manual,1,2014,1197,5,5613.573,Hyundai,low-class
80,Hyundai Grand i10 1.2 Kappa Era,45000,Petrol,Manual,1,2019,1197,5,5553.2119999999995,Hyundai,low-class
81,Hyundai i10 Magna 1.1L,45000,Petrol,Manual,1,2014,1086,5,3923.465,Hyundai,low-class
82,Maruti Ertiga VDI,58000,Diesel,Manual,1,2013,1248,7,6337.905,Maruti,low-class
83,Hyundai i20 1.2 Spotz,48000,Petrol,Manual,1,2018,1197,5,7545.125,Hyundai,low-class
84,BMW 2 Series 220i M Sport,18000,Petrol,Automatic,1,2021,1998,5,48288.8,BMW,low-class
85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,16000,Petrol,Automatic,1,2022,999,5,20220.935,Skoda,low-class
86,Honda City i-VTEC VX,24000,Petrol,Manual,1,2019,1497,5,12072.2,Honda,low-class
87,MG Hector Plus Select Diesel MT 7 STR,36000,Diesel,Manual,1,2021,1956,7,21609.237999999998,MG,low-class
88,Jeep Compass 1.4 Limited Plus,35000,Petrol,Automatic,2,2019,1368,5,16780.358,Jeep,low-class
89,Honda Amaze E Petrol BSIV,64000,Petrol,Manual,1,2019,1199,5,7364.0419999999995,Honda,low-class
90,Maruti Vitara Brezza VDi,72000,Diesel,Manual,1,2017,1248,5,9355.955,Maruti,low-class
91,Hyundai Grand i10 Magna,29900,Petrol,Manual,1,2015,1197,5,5553.2119999999995,Hyundai,low-class
92,Mahindra XUV700 AX5 Diesel AT,20000,Diesel,Automatic,1,2022,2198,5,25242.9702,Mahindra,low-class
93,Tata Indigo VX BSIV,160000,Diesel,Manual,1,2013,1396,5,3742.382,Tata,low-class
94,Tata Tiago XZ Plus,16000,Petrol,Manual,1,2020,1199,5,6820.793000000001,Tata,low-class
95,Honda WR-V i-VTEC VX,17000,Petrol,Manual,1,2019,1199,5,10864.98,Honda,low-class
96,Lexus NX 300h,111000,Petrol,Automatic,1,2018,2499,5,50703.24,Lexus,low-class
97,Mercedes-Benz M-Class ML 250 CDI,38000,Diesel,Automatic,2,2015,2143,5,34405.770000000004,Mercedes-Benz,low-class
98,Honda Jazz 1.5 SV i DTEC,32000,Diesel,Manual,1,2015,1498,5,6639.71,Honda,low-class
99,Volkswagen Polo 1.2 MPI Comfortline,67000,Petrol,Manual,1,2015,1198,5,5432.49,Volkswagen,low-class
100,Ford Ecosport 1.5 Petrol Titanium AT,50000,Petrol,Automatic,1,2016,1496,5,8148.735000000001,Ford,low-class
101,Maruti Swift VDI BSIV,110000,Diesel,Manual,2,2010,1248,5,2172.996,Maruti,low-class
102,Hyundai Verna VTVT 1.6 AT EX,51000,Petrol,Automatic,1,2017,1591,5,9355.955,Hyundai,low-class
103,Hyundai Grand i10 1.2 CRDi Sportz,83000,Diesel,Manual,1,2017,1186,5,6639.71,Hyundai,low-class
104,Audi Q3 35 TDI Quattro Premium,38000,Diesel,Automatic,1,2016,1968,5,28973.28,Audi,low-class
105,Hyundai Creta 1.6 SX Automatic Diesel,58000,Diesel,Automatic,1,2018,1582,5,15995.665,Hyundai,low-class
106,Hyundai Creta 1.6 SX,36000,Petrol,Manual,1,2018,1591,5,13279.42,Hyundai,low-class
107,Volkswagen Vento 1.0 TSI Highline AT,23500,Petrol,Automatic,1,2020,999,5,12675.81,Volkswagen,low-class
108,Hyundai i20 1.2 Magna Executive,60000,Petrol,Manual,1,2017,1197,5,7846.93,Hyundai,low-class
109,Skoda Superb LK 1.8 TSI AT,18000,Petrol,Automatic,1,2018,1798,5,30180.5,Skoda,low-class
110,Honda Amaze V Petrol BSIV,36500,Petrol,Manual,1,2017,1199,5,7243.32,Honda,low-class
111,Skoda Superb Sportline,25000,Petrol,Automatic,1,2021,1984,5,37423.82,Skoda,low-class
112,Kia Seltos HTX IVT,20500,Petrol,Automatic,1,2020,1497,5,19013.715,Kia,low-class
113,Honda Amaze S i-Vtech,30000,Petrol,Manual,1,2015,1198,5,5432.49,Honda,low-class
114,Hyundai i20 Magna 1.2,59000,Petrol,Manual,1,2017,1197,5,7122.598000000001,Hyundai,low-class
115,BMW X1 sDrive 20d xLine,80000,Diesel,Automatic,1,2014,1995,5,17504.69,BMW,low-class
116,Hyundai Xcent 1.2 CRDi E Plus,50000,Diesel,Manual,2,2017,1186,5,4587.436,Hyundai,low-class
117,Tata Harrier XZAS Plus Kaziranga Edition AT,32000,Diesel,Automatic,1,2021,1956,5,25351.62,Tata,low-class
118,Hyundai i10 Era 1.1 iTech SE,120000,Petrol,Manual,2,2012,1086,5,3150.8442,Hyundai,low-class
119,Land Rover Discovery 2.0 R-Dynamic HSE,33000,Petrol,Automatic,1,2021,1997,7,1327.9420000000002,Land,low-class
120,Mini 3 DOOR Cooper S,6900,Petrol,Automatic,1,2019,1998,4,50703.24,Mini,low-class
121,Tata Harrier XZA Plus Kaziranga Edition AT,4500,Diesel,Automatic,1,2022,1956,5,27162.45,Tata,low-class
122,Volvo S90 D4 Inscription BSIV,51000,Diesel,Automatic,1,2018,1969,5,50703.24,Volvo,low-class
123,Kia Seltos GTX Plus AT D,12000,Diesel,Automatic,1,2022,1493,5,23842.595,Kia,low-class
124,Maruti Vitara Brezza ZDi Plus,37000,Diesel,Manual,1,2018,1248,5,11468.59,Maruti,low-class
125,Hyundai Verna SX Opt Diesel,35000,Diesel,Manual,1,2021,1493,5,17516.7622,Hyundai,low-class
126,Maruti Wagon R VXI Optional,80000,Petrol,Manual,2,2016,998,5,3621.66,Maruti,low-class
127,Hyundai Grand i10 Magna,60000,Petrol,Manual,1,2016,1197,5,5553.2119999999995,Hyundai,low-class
128,Honda Amaze VX CVT,10000,Petrol,Automatic,1,2022,1199,5,11046.063,Honda,low-class
129,Maruti Ignis Zeta AMT,59385,Petrol,Automatic,1,2019,1197,5,6639.71,Maruti,low-class
130,Jaguar XF 3.0 Litre S Premium Luxury,51000,Diesel,Automatic,2,2012,2993,5,20522.74,Jaguar,low-class
131,Mahindra XUV500 AT W6 1.99 mHawk,74000,Diesel,Automatic,1,2017,1997,7,11951.478000000001,Mahindra,low-class
132,Tata Nexon 1.2 Revotron XMA,29000,Petrol,Automatic,1,2020,1198,5,10273.4422,Tata,low-class
133,Jeep Compass Model S 4X4 Diesel AT,12200,Diesel,Automatic,1,2021,1956,5,33198.55,Jeep,low-class
134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,40000,Petrol,Automatic,3,2019,1197,5,6639.71,Hyundai,low-class
135,Hyundai Verna CRDi 1.6 SX,58000,Diesel,Manual,1,2018,1582,5,11480.6622,Hyundai,low-class
136,Toyota Innova Crysta 2.8 ZX AT BSIV,75000,Diesel,Automatic,2,2019,2755,7,24023.678,Toyota,low-class
137,Land Rover Discovery Sport TD4 HSE 7S,72000,Diesel,Automatic,1,2018,1999,7,42856.31,Land,low-class
138,Ford Aspire 1.2 Ti-VCT Titanium,23400,Petrol,Manual,1,2017,1196,5,6639.71,Ford,low-class
139,Ford Aspire 1.2 Ti-VCT Ambiente,59300,Petrol,Manual,1,2017,1196,5,4708.158,Ford,low-class
140,Hyundai Creta 1.4 CRDi S,72000,Diesel,Manual,1,2016,1396,5,10744.258,Hyundai,low-class
141,Maruti Swift Dzire LDI,67000,Diesel,Manual,1,2017,1248,5,5444.5622,Maruti,low-class
142,Honda Amaze S CVT i-VTEC,33500,Petrol,Automatic,1,2018,1199,5,8752.345,Honda,low-class
143,Hyundai Creta SX Executive,17000,Petrol,Manual,2,2021,1497,5,15392.055,Hyundai,low-class
144,Volkswagen Ameo 1.5 TDI Highline AT,33000,Diesel,Automatic,1,2016,1498,5,8329.818000000001,Volkswagen,low-class
145,Volkswagen Polo GT TSI,49000,Petrol,Automatic,1,2015,1197,5,8148.735000000001,Volkswagen,low-class
146,Hyundai Grand i10 AT Asta,26000,Petrol,Automatic,1,2015,1197,5,6820.793000000001,Hyundai,low-class
147,Hyundai Venue SX Opt iMT,14500,Petrol,Manual,1,2020,998,5,12072.2,Hyundai,low-class
148,Kia Seltos GTX Plus AT D,10000,Diesel,Automatic,1,2022,1493,5,23842.595,Kia,low-class
149,MG Hector Plus Sharp DCT,15001,Petrol,Automatic,1,2020,1451,6,20522.74,MG,low-class
150,Skoda Octavia Elegance 1.8 TSI AT,55000,Petrol,Automatic,2,2015,1798,5,11770.395,Skoda,low-class
151,Toyota Corolla Altis G,38000,Petrol,Manual,1,2013,1798,5,7846.93,Toyota,low-class
152,Ford Endeavour 4x4 XLT,110000,Diesel,Manual,2,2005,2953,7,4828.88,Ford,low-class
153,Honda Amaze S AT i-Vtech,65413,Petrol,Automatic,1,2013,1198,5,5734.295,Honda,low-class
154,Honda Jazz Mode,45000,Petrol,Manual,2,2009,1198,5,3380.216,Honda,low-class
155,Ford Figo 1.2P Trend MT,44000,Petrol,Manual,1,2017,1196,5,5191.046,Ford,low-class
156,Hyundai Grand i10 1.2 Kappa Magna BSIV,40000,Petrol,Manual,1,2017,1197,5,5915.378000000001,Hyundai,low-class
157,Ford Ecosport 1.5 Petrol Titanium AT,49000,Petrol,Automatic,1,2016,1496,5,7859.0022,Ford,low-class
158,Mahindra Thar LX 4-Str Hard Top Diesel AT,19000,Diesel,Automatic,1,2022,2184,4,21138.4222,Mahindra,low-class
159,Hyundai i20 Magna Optional 1.4 CRDi,56000,Diesel,Manual,2,2013,1396,5,4720.2302,Hyundai,low-class
160,Honda City 1.5 V MT,65000,Petrol,Manual,2,2010,1497,5,4527.075,Honda,low-class
161,Toyota Etios G,27680,Petrol,Manual,1,2013,1496,5,5915.378000000001,Toyota,low-class
162,Kia Seltos GTX Plus AT D,27305,Diesel,Automatic,1,2021,1493,5,22031.765,Kia,low-class
163,BMW 3 Series 320d,10793,Diesel,Automatic,1,2019,1995,5,39838.26,BMW,low-class
164,BMW X3 xDrive 20d Luxury Line,12000,Diesel,Automatic,1,2020,1995,5,67604.32,BMW,low-class
165,MG Hector Sharp DCT,44000,Petrol,Automatic,1,2019,1451,5,18096.2278,MG,low-class
166,Kia Seltos HTK G,63000,Petrol,Manual,1,2020,1497,5,14474.5678,Kia,low-class
167,Hyundai i20 Sportz Plus Diesel,87000,Diesel,Manual,1,2019,1396,5,7846.93,Hyundai,low-class
168,Maruti Alto LXi,61000,Petrol,Manual,1,2010,796,5,2293.718,Maruti,low-class
169,Hyundai i20 Sportz Option 1.4 CRDi,72000,Diesel,Manual,1,2016,1396,5,7545.125,Hyundai,low-class
170,Audi A4 2.0 TDI Multitronic,70000,Diesel,Automatic,1,2015,1968,5,19931.202200000003,Audi,low-class
171,Nissan Micra Diesel XV,58000,Diesel,Manual,2,2012,1461,5,2716.245,Nissan,low-class
172,Honda Jazz Active,90000,Petrol,Manual,3,2009,1198,5,1569.3860000000002,Honda,low-class
173,Honda City VX MT,19000,Petrol,Manual,1,2022,1497,5,15090.25,Honda,low-class
174,Toyota Corolla Altis G AT,72159,Petrol,Automatic,1,2014,1798,5,11166.785,Toyota,low-class
175,Ford Ecosport 1.5 DV5 MT Titanium,78000,Diesel,Manual,1,2015,1498,5,7122.598000000001,Ford,low-class
176,Ford Ecosport 1.5 Diesel Titanium BSIV,58000,Diesel,Manual,1,2018,1498,5,8329.818000000001,Ford,low-class
177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,72000,Diesel,Manual,1,2018,1498,5,10744.258,Ford,low-class
178,Land Rover Range Rover Evoque 2.0 TD4 SE,56000,Diesel,Automatic,1,2018,1999,5,51306.85,Land,low-class
179,Nissan Micra Diesel XV,73000,Diesel,Manual,1,2012,1461,5,3500.938,Nissan,low-class
180,Hyundai Creta 1.6 VTVT S,28840,Petrol,Manual,1,2016,1591,5,10744.258,Hyundai,low-class
181,Maruti Swift Dzire AMT ZXI,51500,Petrol,Automatic,1,2019,1197,5,8329.818000000001,Maruti,low-class
182,Maruti S-Presso VXI Plus AT 2019-2022,41370,Petrol,Automatic,1,2020,998,5,5794.656,Maruti,low-class
183,Hyundai Creta 1.6 VTVT S,41266,Petrol,Manual,1,2016,1591,5,10563.175000000001,Hyundai,low-class
184,Hyundai Verna VTVT 1.6 AT SX Option,31740,Petrol,Automatic,1,2018,1591,5,11951.478000000001,Hyundai,low-class
185,Maruti Ciaz VXi Plus,77876,Petrol,Manual,1,2015,1373,5,7424.403,Maruti,low-class
186,Skoda Kushaq 1.5 TSI Style,9500,Petrol,Manual,1,2022,1498,5,24748.010000000002,Skoda,low-class
187,Hyundai Grand i10 1.2 Kappa Sportz Option AT,28387,Petrol,Automatic,1,2019,1197,5,7545.125,Hyundai,low-class
188,Mercedes-Benz M-Class ML 350 CDI,120000,Diesel,Automatic,2,2015,2987,5,32594.940000000002,Mercedes-Benz,low-class
189,Hyundai Grand i10 Magna,20000,Petrol,Manual,2,2017,1197,5,5432.49,Hyundai,low-class
190,Mercedes-Benz C-Class Progressive C 220d,30686,Diesel,Automatic,1,2020,1950,5,51306.85,Mercedes-Benz,low-class
191,Tata Indica eV2 DL BSIII,120000,Diesel,Manual,2,2013,1396,5,1207.22,Tata,low-class
192,Mahindra Bolero Power Plus SLE,184000,Diesel,Manual,2,2018,1493,7,7243.32,Mahindra,low-class
193,Honda City 1.5 S AT,40000,Petrol,Automatic,1,2009,1497,5,4828.88,Honda,low-class
194,Maruti Ciaz Delta Diesel,55000,Diesel,Manual,1,2015,1248,5,7545.125,Maruti,low-class
195,Hyundai Grand i10 1.2 Kappa Sportz Option,38000,Petrol,Manual,1,2019,1197,5,6941.515,Hyundai,low-class
196,Audi Q3 30 TFSI Premium FWD,40000,Petrol,Automatic,1,2017,1395,5,28369.670000000002,Audi,low-class
197,Hyundai Santro GS zipDrive - Euro II,60000,Petrol,Manual,2,2006,999,5,1629.747,Hyundai,low-class
198,Mahindra Bolero SLX,110000,Diesel,Manual,3,2009,2523,7,3621.66,Mahindra,low-class
199,Maruti Swift LDI,143000,Diesel,Manual,2,2011,1248,5,2535.1620000000003,Maruti,low-class
200,Tata Indica Aqua 1.3 Quadrajet BSIV,110000,Diesel,Manual,3,2012,1248,5,1509.025,Tata,low-class
201,Mahindra KUV 100 mFALCON D75 K4 Plus,58000,Diesel,Manual,1,2017,1198,6,5734.295,Mahindra,low-class
202,Honda City i VTEC SV,65000,Petrol,Manual,2,2014,1497,5,6639.71,Honda,low-class
203,Tata Harrier XZ Plus,50000,Diesel,Manual,1,2021,1956,5,20522.74,Tata,low-class
204,Tata Zest Revotron 1.2 XT,55000,Petrol,Manual,1,2015,1193,5,4213.1978,Tata,low-class
205,Land Rover Discovery Sport R-Dynamic SE Diesel,19500,Diesel,Automatic,1,2021,1999,7,84505.40000000001,Land,low-class
206,Mahindra XUV500 AT W10 FWD,78000,Diesel,Automatic,2,2016,2179,7,11166.785,Mahindra,low-class
207,Honda City V MT,58000,Petrol,Manual,1,2010,1497,5,4708.158,Honda,low-class
208,Mahindra XUV500 W10 2WD,91000,Diesel,Manual,1,2017,2179,7,12374.005000000001,Mahindra,low-class
209,Mahindra XUV500 AT W10 1.99 mHawk,30000,Diesel,Automatic,1,2016,1997,7,13581.225,Mahindra,low-class
210,Maruti Baleno 1.2 Zeta,44153,Petrol,Manual,1,2018,1197,5,8752.345,Maruti,low-class
211,Mercedes-Benz C-Class C 250d Avantgarde Edition C,21000,Diesel,Automatic,1,2018,2143,5,41649.090000000004,Mercedes-Benz,low-class
212,Kia Seltos HTX G,19000,Petrol,Manual,1,2020,1497,5,16901.08,Kia,low-class
213,Hyundai Alcazar Signature Diesel AT,27300,Diesel,Automatic,1,2021,1493,6,23540.79,Hyundai,low-class
214,Skoda Superb Laurin & klement,31001,Petrol,Automatic,1,2021,1984,5,41045.48,Skoda,low-class
215,Renault KWID 1.0 RXT,50000,Petrol,Manual,1,2017,999,5,3742.382,Renault,low-class
216,Maruti Wagon R LXI BSII,77000,Petrol,Manual,2,2005,998,5,1569.3860000000002,Maruti,low-class
217,Maruti Swift Dzire AMT VXI,53000,Petrol,Automatic,1,2018,1197,5,7846.93,Maruti,low-class
218,Datsun RediGO S,20000,Petrol,Manual,1,2017,799,5,3319.855,Datsun,low-class
219,Honda Brio S Option MT,72000,Petrol,Manual,1,2013,1198,5,4225.27,Honda,low-class
220,Hyundai Creta 1.6 VTVT S,26000,Petrol,Manual,1,2016,1591,5,10744.258,Hyundai,low-class
221,Honda Amaze S i-Dtech,66000,Diesel,Manual,1,2015,1498,5,5130.685,Honda,low-class
222,Jaguar XF 2.2 Litre Luxury,69619,Diesel,Automatic,1,2014,2179,5,26558.84,Jaguar,low-class
223,Maruti Alto K10 VXI AMT,30000,Petrol,Automatic,1,2018,998,5,5191.046,Maruti,low-class
224,Maruti Wagon R LXI Minor,61000,Petrol,Manual,1,2009,1061,5,2547.2342,Maruti,low-class
225,Renault Duster 110PS Diesel RxZ AMT,31000,Diesel,Automatic,1,2018,1461,5,11770.395,Renault,low-class
226,Volkswagen Polo GT TSI,66000,Petrol,Automatic,1,2015,1197,5,7545.125,Volkswagen,low-class
227,Land Rover Discovery Sport R-Dynamic SE,7700,Petrol,Automatic,1,2021,1997,7,86919.84,Land,low-class
228,Mahindra XUV700 AX3 AT,9000,Petrol,Automatic,1,2022,1999,5,21126.350000000002,Mahindra,low-class
229,Tata Tigor 1.2 Revotron XT,60000,Petrol,Manual,2,2017,1199,5,4104.548,Tata,low-class
230,Skoda Fabia 1.2 MPI Active,110000,Petrol,Manual,3,2009,1198,5,1327.9420000000002,Skoda,low-class
231,Kia Seltos HTX Plus AT D,51001,Diesel,Automatic,1,2020,1493,5,20220.935,Kia,low-class
232,Jeep Compass 2.0 Limited Plus AT,56207,Diesel,Automatic,1,2020,1956,5,25351.62,Jeep,low-class
233,Mercedes-Benz GLA Class 200 d Sport,58000,Diesel,Automatic,1,2019,2143,5,32474.218,Mercedes-Benz,low-class
234,Hyundai i20 Diesel Sportz,73290,Diesel,Manual,1,2018,1396,5,7846.93,Hyundai,low-class
235,Hyundai Verna 1.6 CRDi S,44283,Diesel,Manual,1,2017,1582,5,9537.038,Hyundai,low-class
236,Maruti Celerio VXI AT,48000,Petrol,Automatic,1,2016,998,5,5130.685,Maruti,low-class
237,Honda City 1.5 S MT,107500,Petrol,Manual,3,2010,1497,5,4104.548,Honda,low-class
239,Maruti SX4 Celebration Petrol,90000,Petrol,Manual,2,2009,1586,5,2414.44,Maruti,low-class
240,Maruti Vitara Brezza LXI,10000,Petrol,Manual,1,2021,1462,5,9355.955,Maruti,low-class
241,Maruti Wagon R LXI BS IV,120000,Petrol,Manual,1,2011,998,5,2595.523,Maruti,low-class
242,Maruti Wagon R LXI BS IV,120000,Petrol,Manual,1,2011,998,5,2861.1114000000002,Maruti,low-class
